"동별(1)",동별(2),2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4
"동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,4505357,9594329,4610784,4983545,9318500,4491997,4826503,275829,118787,157042,2.07,1894245
"합계",종로구,72402,149165,70897,78268,137545,66032,71513,11620,4865,6755,1.90,30658
"합계",중구,64259,128942,61743,67199,118458,56869,61589,10484,4874,5610,1.84,27442
"합계",용산구,103187,215716,103377,112339,202636,96590,106046,13080,6787,6293,1.96,40342
"합계",성동구,132994,282288,135903,146385,274195,132518,141677,8093,3385,4708,2.06,52896
"합계",광진구,171265,349963,166279,183684,332072,158955,173117,17891,7324,10567,1.94,62240
"합계",동대문구,176040,364828,175494,189334,344572,168148,176424,20256,7346,12910,1.96,72029
"합계",중랑구,188870,383737,187037,196700,377101,184274,192827,6636,2763,3873,2.00,87197
"합계",성북구,199326,437922,207858,230064,423991,202601,221390,13931,5257,8674,2.13,86899
"합계",강북구,142545,286607,136950,149657,280068,134794,145274,6539,2156,4383,1.96,73692
"합계",도봉구,139130,303770,146238,157532,300820,145194,155626,2950,1044,1906,2.16,77440
"합계",노원구,217252,490739,234459,256280,485526,232341,253185,5213,2118,3095,2.23,103864
"합계",은평구,215129,461842,218014,243828,457412,216297,241115,4430,1717,2713,2.13,101602
"합계",서대문구,146450,317826,147373,170453,301098,142334,158764,16728,5039,11689,2.06,62082
"합계",마포구,180703,370471,170690,199781,358744,166572,192172,11727,4118,7609,1.99,61682
"합계",양천구,179924,430045,209045,221000,426587,207678,218909,3458,1367,2091,2.37,83677
"합계",강서구,273397,557177,265902,291275,550669,263123,287546,6508,2779,3729,2.01,111714
"합계",구로구,184587,409707,201511,208196,385222,188346,196876,24485,13165,11320,2.09,87340
"합계",금천구,121441,237847,119817,118030,223603,112337,111266,14244,7480,6764,1.84,50102
"합계",영등포구,192641,396202,194202,202000,372245,181710,190535,23957,12492,11465,1.93,72874
"합계",동작구,187337,385786,185029,200757,373409,180130,193279,12377,4899,7478,1.99,75563
"합계",관악구,288964,497998,248620,249378,478809,240880,237929,19189,7740,11449,1.66,92116
"합계",서초구,172911,417288,198221,219067,412479,195928,216551,4809,2293,2516,2.39,71482
"합계",강남구,245478,562382,268702,293680,556324,265884,290440,6058,2818,3240,2.27,94359
"합계",송파구,286836,652094,312061,340033,645729,309190,336539,6365,2871,3494,2.25,118155
"합계",강동구,222289,503987,245362,258625,499186,243272,255914,4801,2090,2711,2.25,96798
